Date,Transation,Amount,Category,Pmt Method,Type,Balance,Big Spender,"$20,000.00"
01/01/2024,Paycheck,"$2,000.00",Paycheck,Apple,Income,"$18,000.00",Big Spender,78
01/01/2024,Movies,$894.16,Auto,Amazon,Expense,"$17,105.84",Not Much,77
01/02/2024,Music,$330.56,Eating Out,Capital One,Expense,"$16,775.28",Not Much,76
01/03/2024,Tools,"$1,840.39",Kids,Check,Expense,"$14,934.89",Big Spender,76
01/04/2024,Music,$586.23,Entertainment,Round Up,Expense,"$14,348.66",Not Much,75
01/05/2024,Shoes,"$1,583.07",Other Income,Another Card,Expense,"$12,765.59",Big Spender,74
01/06/2024,Other Income,"$4,500.00",Auto,Capital One,Expense,"$8,265.59",Big Spender,73
01/06/2024,Books,$784.44,Grocery,Apple,Expense,"$7,481.15",Not Much,72
01/07/2024,Industrial,"$1,524.79",Donation,Amazon,Expense,"$5,956.36",Big Spender,71
01/10/2024,Industrial,$169.57,Medical,Capital One,Expense,"$5,786.79",Not Much,70
01/10/2024,Health,"$1,623.67",Paycheck,Check,Income,"$4,163.12",Big Spender,70
01/11/2024,Jewelry,$295.07,Medical,Round Up,Expense,"$3,868.05",Not Much,69
01/14/2024,Movies,"$1,896.78",Business ,Another Card,Expense,"$1,971.27",Big Spender,69
01/16/2024,Paycheck,"$2,000.00",Business ,Capital One,Expense,-$28.73,Big Spender,68
01/17/2024,Electronics,"$1,196.65",Clothing ,Apple,Expense,"-$1,225.38",Big Spender,67
01/18/2024,Jewelry,"$1,098.23",Medical,Amazon,Expense,"-$2,323.61",Big Spender,66
01/18/2024,Computers,$935.66,Investment,Capital One,Expense,"-$3,259.27",Not Much,65
01/21/2024,Outdoors,$884.78,Grocery,Check,Expense,"-$4,144.05",Not Much,64
01/22/2024,Shoes,"$1,358.23",Grocery,Round Up,Expense,"-$5,502.28",Big Spender,63
01/23/2024,Jewelry,$650.82,Clothing ,Another Card,Expense,"-$6,153.10",Not Much,62
01/23/2024,Garden,$397.66,Clothing ,Capital One,Expense,"-$6,550.76",Not Much,61
01/24/2024,Kids,"$1,893.78",Auto,Apple,Expense,"-$8,444.54",Big Spender,61
01/24/2024,Electronics,$608.67,Other Income,Amazon,Expense,"-$9,053.21",Not Much,60
01/27/2024,Health,$409.05,Entertainment,Capital One,Expense,"-$9,462.26",Not Much,59
01/28/2024,Beauty,$943.46,Business ,Check,Expense,"-$10,405.72",Not Much,59
01/30/2024,Movies,"$1,527.78",Donation,Round Up,Expense,"-$11,933.50",Big Spender,58
01/31/2024,Music,$631.79,Grocery,Another Card,Expense,"-$12,565.29",Not Much,57
02/02/2024,Paycheck,"$2,000.00",Eating Out,Capital One,Expense,"-$14,565.29",Big Spender,56
02/03/2024,Food,$75.22,Grocery,Apple,Expense,"-$14,640.51",Not Much,55
02/04/2024,Grocery,$355.22,Grocery,Amazon,Expense,"-$14,995.73",Not Much,55
02/04/2024,Movies,"$1,713.16",Eating Out,Capital One,Expense,"-$16,708.89",Big Spender,55
02/06/2024,Music,$91.40,Grocery,Check,Expense,"-$16,800.29",Not Much,54
02/06/2024,Electronics,"$1,030.19",Running,Round Up,Expense,"-$17,830.48",Big Spender,54
02/07/2024,Computers,$197.00,Running,Another Card,Expense,"-$18,027.48",Not Much,53
02/07/2024,Sports,"$1,297.15",Home,Capital One,Expense,"-$19,324.63",Big Spender,53
02/08/2024,Grocery,"$1,743.58",Clothing ,Apple,Expense,"-$21,068.21",Big Spender,52
02/08/2024,Music,"$1,818.44",Clothing ,Amazon,Expense,"-$22,886.65",Big Spender,51
02/09/2024,Garden,$539.27,Medical,Capital One,Expense,"-$23,425.92",Not Much,50
02/10/2024,Sports,$969.43,Donation,Check,Expense,"-$24,395.35",Not Much,49
02/12/2024,Outdoors,$290.39,Grocery,Round Up,Expense,"-$24,685.74",Not Much,48
02/12/2024,Computers,"$1,144.11",Eating Out,Another Card,Expense,"-$25,829.85",Big Spender,48
02/12/2024,Tools,"$1,005.29",Grocery,Capital One,Expense,"-$26,835.14",Big Spender,47
02/13/2024,Toys,$438.40,Grocery,Apple,Expense,"-$27,273.54",Not Much,46
02/14/2024,Sports,"$1,816.46",Eating Out,Amazon,Expense,"-$29,090.00",Big Spender,46
02/15/2024,Paycheck,"$2,000.00",Grocery,Capital One,Expense,"-$31,090.00",Big Spender,45
02/16/2024,Health,$242.38,Running,Check,Expense,"-$31,332.38",Not Much,44
